Date,Open,High,Low,Close,Adj Close,Volume
2018-09-06,47.76,47.96,47.21,47.26,46.07,19318100
2018-09-07,46.91,47.48,46.36,46.45,45.28,25958300
2018-09-10,46.56,46.76,46.23,46.3,45.14,21522400
2018-09-11,46.0,46.03,44.89,44.93,43.8,32455300
2018-09-12,44.56,44.98,44.06,44.93,43.8,29778700
2018-09-13,45.68,45.85,45.11,45.57,44.43,18657100
2018-09-14,45.78,45.97,45.35,45.54,44.4,22998700
2018-09-17,45.29,45.9,45.19,45.42,44.28,17603200
2018-09-18,45.58,46.53,45.41,46.1,44.94,20528100
2018-09-19,46.09,46.44,45.89,46.15,44.99,15918900
2018-09-20,46.78,47.36,46.52,47.2,46.01,21999300
2018-09-21,47.12,47.42,46.37,46.66,45.49,52650600
2018-09-24,46.31,47.0,46.15,46.91,45.73,17847000
2018-09-25,46.22,46.39,45.8,45.91,44.76,23389900
2018-09-26,46.04,46.3,45.58,45.7,44.55,23957700
2018-09-27,45.91,46.17,45.73,45.88,44.73,15415500
2018-09-28,45.62,47.75,45.46,47.29,46.1,46223500
2018-10-01,46.79,47.22,46.2,46.45,45.28,23796200
2018-10-02,47.51,48.88,47.32,48.1,46.89,42121100
2018-10-03,48.62,49.72,48.56,48.76,47.54,39211900
2018-10-04,48.84,48.86,47.62,48.13,46.92,30108300
2018-10-05,48.23,48.34,46.66,47.03,45.85,28901400
2018-10-08,46.96,47.35,46.52,47.03,45.85,19376800
2018-10-09,47.18,47.62,46.54,46.55,45.38,23285700
2018-10-10,46.06,46.12,44.8,44.8,43.68,43109500
2018-10-11,45.15,45.61,43.73,44.23,43.12,43648800
2018-10-12,45.27,45.34,44.23,44.88,43.75,32087400
2018-10-15,44.63,45.14,44.44,44.53,43.41,21633000
2018-10-16,44.9,46.01,44.83,45.94,44.79,21472000
2018-10-17,46.0,46.33,45.54,45.89,44.74,23124400
2018-10-18,45.65,45.75,44.83,44.97,43.84,26638800
2018-10-19,45.02,45.18,43.86,44.0,42.9,28368500
2018-10-22,44.5,45.34,44.1,45.01,43.88,34508800
2018-10-23,44.18,45.09,43.91,44.5,43.38,38590300
2018-10-24,44.16,44.36,42.36,42.42,41.35,33631800
2018-10-25,43.54,44.94,43.28,44.31,43.2,48255300
2018-10-26,45.59,46.44,44.7,45.69,44.54,67280400
2018-10-29,46.5,46.75,44.44,45.4,44.26,35732200
2018-10-30,45.53,47.88,45.46,47.76,46.56,43975200
2018-10-31,48.29,48.56,46.83,46.88,45.7,33369100
2018-11-01,46.95,48.47,46.86,48.22,47.01,28335300
2018-11-02,48.13,48.25,46.75,47.11,45.93,30759800
2018-11-05,47.34,48.25,46.92,47.97,46.77,23751200
2018-11-06,47.8,47.92,47.03,47.25,46.35,23839600
2018-11-07,47.63,48.75,47.59,48.72,47.8,29913200
2018-11-08,48.49,49.29,48.46,48.99,48.06,26581700
2018-11-09,48.79,49.03,47.87,48.11,47.2,21761400
2018-11-12,47.71,47.8,46.6,46.65,45.77,24412800
2018-11-13,46.99,48.25,46.99,47.39,46.49,29315900
2018-11-14,47.85,47.97,46.89,47.09,46.2,25632700
2018-11-15,47.01,48.24,46.72,48.11,47.2,29581000
2018-11-16,47.77,49.05,47.69,48.83,47.9,31670600
2018-11-19,48.61,49.15,47.78,48.0,47.09,26859000
2018-11-20,47.4,48.12,47.09,47.39,46.49,29200800
2018-11-21,47.85,47.88,47.02,47.03,46.14,19011400
2018-11-23,46.69,47.07,46.52,46.54,45.66,8906900
2018-11-26,47.27,47.46,46.7,47.45,46.55,20723000
2018-11-27,46.94,48.22,46.59,48.07,47.16,27621000
2018-11-28,47.94,48.88,47.65,48.86,47.93,28003200
2018-11-29,48.49,48.56,47.63,47.7,46.8,23592500
2018-11-30,47.95,49.32,47.56,49.31,48.37,43313700
2018-12-03,50.0,50.5,49.53,50.13,49.18,30870400
2018-12-04,49.52,49.6,47.68,47.75,46.84,35397700
2018-12-06,46.8,48.39,46.52,48.37,47.45,31661700
2018-12-07,47.94,48.06,46.23,46.24,45.36,34016400
2018-12-10,46.28,47.46,46.01,47.21,46.31,23289000
2018-12-11,47.9,48.59,47.13,47.38,46.48,23851000
2018-12-12,48.58,48.64,47.41,47.83,46.92,31305000
