,index,Date,P5,P6,P7,Result
0,0,2018-09-06,0.6666666666666666,0.2843876958792802,-0.20938023450586266,0
1,1,2018-09-07,0.4107142857142811,0.23737666860127699,-0.19612023022809372,0
2,2,2018-09-10,0.49056603773585766,0.2286709228090538,-0.11168384879725304,0
3,3,2018-09-11,0.93859649122807,0.14915844457341842,-0.4652173913043479,0
4,4,2018-09-12,0.4021739130434778,0.14915844457341842,0.16606822262118376,1
5,5,2018-09-13,0.1486486486486475,0.18630295995356935,-0.04816112084063022,0
6,6,2018-09-14,0.3870967741935532,0.18456181079512474,-0.10484927916120663,0
7,7,2018-09-17,0.18309859154929917,0.17759721416134658,0.057407816294988985,1
8,8,2018-09-18,0.4642857142857152,0.2170632617527569,0.2281702501096986,1
9,9,2018-09-19,0.10909090909090087,0.21996517701683102,0.02603601648947501,1
10,10,2018-09-20,0.5000000000000042,0.2809053975623913,0.17956391620350648,0
11,11,2018-09-21,0.43809523809523715,0.24956471271038863,-0.19524617996604454,1
12,12,2018-09-24,0.7058823529411686,0.2640742890307601,0.25912329950334456,0
13,13,2018-09-25,0.5254237288135601,0.20603598374927432,-0.13414106447425456,0
14,14,2018-09-26,0.4722222222222178,0.19384793964016267,-0.1476976542137256,1
15,15,2018-09-27,0.06818181818180387,0.2042948345908301,-0.013069048137658041,1
16,16,2018-09-28,0.7292576419213984,0.2861288450377248,0.7321350284962744,0
17,17,2018-10-01,0.33333333333333104,0.23737666860127699,-0.1453301987604173,1
18,18,2018-10-02,0.37820512820512986,0.33313987231572845,0.24836876447063921,1
19,19,2018-10-03,0.12068965517241464,0.37144515380150883,0.05758946935417547,0
20,20,2018-10-04,0.57258064516129,0.33488102147417304,-0.2907452907452911,0
21,21,2018-10-05,0.7142857142857089,0.27103888566453865,-0.4976155919552128,0
22,22,2018-10-08,0.08433734939759088,0.27103888566453865,0.02981260647359467,0
23,23,2018-10-09,0.5833333333333366,0.24318049912942524,-0.26706231454006046,0
24,24,2018-10-10,0.9545454545454582,0.14161346488682514,-0.5471124620060812,0
25,25,2018-10-11,0.48936170212765984,0.10853163087637824,-0.4075304540420827,1
26,26,2018-10-12,0.3513513513513498,0.14625652930934432,-0.17229953611663376,0
27,27,2018-10-15,0.14285714285714432,0.1259431224608242,-0.044812906116962314,1
28,28,2018-10-16,0.8813559322033894,0.20777713290771896,0.4632516703786188,0
29,29,2018-10-17,0.13924050632911336,0.20487521764364483,-0.04782608695652149,0
30,30,2018-10-18,0.739130434782607,0.1514799767846778,-0.29791894852135803,0
31,31,2018-10-19,0.7727272727272749,0.09518282066163669,-0.45313194135939716,1
32,32,2018-10-22,0.4112903225806429,0.1538015089959372,0.22921348314606652,0
33,33,2018-10-23,0.27118644067796477,0.12420197330237957,0.14486192847442295,0
34,34,2018-10-24,0.8699999999999974,0.003482298316889278,-0.7880434782608674,1
35,35,2018-10-25,0.4638554216867498,0.11317469529889741,0.35369774919614294,1
36,36,2018-10-26,0.057471264367812996,0.1932675565873475,0.04386926957665905,0
37,37,2018-10-29,0.47619047619047633,0.17643644805571668,-0.47311827956989305,1
38,38,2018-10-30,0.9214876033057832,0.31340684852002304,0.9795739073138576,0
39,39,2018-10-31,0.8150289017341003,0.2623331398723158,-0.5839718368192158,1
40,40,2018-11-01,0.7888198757763953,0.3401044689495066,0.5410010649627246,0
41,41,2018-11-02,0.680000000000002,0.27568195008705737,-0.4238520673176826,1
42,42,2018-11-05,0.473684210526313,0.3255948926291351,0.26615969581748855,0
43,43,2018-11-06,0.617977528089884,0.28380731282646543,-0.23012552301255113,1
44,44,2018-11-07,0.9396551724137927,0.3691236215902495,0.45769473021204965,1
45,45,2018-11-08,0.6024096385542181,0.38479396401625077,0.20622808826562175,0
46,46,2018-11-09,0.586206896551722,0.33372025536854316,-0.278745644599303,0
47,47,2018-11-12,0.8833333333333384,0.2489843296575739,-0.4443512890379385,1
48,48,2018-11-13,0.31746031746031683,0.2919326755658735,0.17024898914662634,0
49,49,2018-11-14,0.7037037037037029,0.2745211839814279,-0.31765935214210994,1
50,50,2018-11-15,0.7236842105263153,0.33372025536854316,0.4679855349925554,1
51,51,2018-11-16,0.7794117647058791,0.37550783517121283,0.44379317563324056,0
52,52,2018-11-19,0.44525547445255514,0.32733604178757975,-0.25097716519234703,0
53,53,2018-11-20,0.009708737864075794,0.2919326755658735,-0.004219409282699583,0
54,54,2018-11-21,0.9534883720930242,0.27103888566453865,-0.342737722048067,0
55,55,2018-11-23,0.27272727272727154,0.2426001160766105,-0.06425358749196769,1
56,56,2018-11-26,0.23684210526315813,0.2954149738827628,0.07615823989845555,1
57,57,2018-11-27,0.6932515337423348,0.3313987231572838,0.4814657008947604,1
58,58,2018-11-28,0.7479674796747957,0.3772489843296575,0.38381309970796906,0
59,59,2018-11-29,0.8494623655913972,0.3099245502031342,-0.32584037945968203,1
60,60,2018-11-30,0.7727272727272733,0.40336622170632624,0.5672575599582896,1
61,61,2018-12-03,0.13402061855670383,0.4509576320371446,0.05200000000000102,0
62,62,2018-12-04,0.9218750000000008,0.3128264654672083,-0.7148626817447508,1
63,63,2018-12-06,0.8395721925133702,0.34881021474172935,0.670940170940171,0
64,64,2018-12-07,0.9289617486338747,0.22518862449216492,-0.7092198581560266,1
65,65,2018-12-10,0.6413793103448261,0.28148578061520607,0.40190146931719956,1
66,66,2018-12-11,0.35616438356164093,0.2913522925130587,-0.21711899791231565,1
67,67,2018-12-12,0.6097560975609736,0.3174695298897271,-0.3087690407575134,1
68,68,2018-12-13,0.04166666666666831,0.3441671503192106,0.01243265644426073,0
69,69,2018-12-14,0.03296703296703434,0.31921067904817174,-0.012528711630821105,0
70,70,2018-12-17,0.44571428571428634,0.2739408009286128,-0.3259506895110745,1
71,71,2018-12-18,0.24770642201835072,0.31224608241439356,0.11375605645671082,0
72,72,2018-12-19,0.8170212765957474,0.18630295995356935,-0.8085912823752375,0
73,73,2018-12-20,0.10000000000000164,0.18456181079512474,0.05725611098877013,0
74,74,2018-12-21,0.49189189189188964,0.14393499709808494,-0.3978142076502717,0
75,75,2018-12-24,0.6380368098159493,0.07138711549622773,-0.46605422361640114,1
76,76,2018-12-26,0.8141263940520423,0.22228670922809038,0.9954545454545444,1
77,77,2018-12-27,0.4327485380116969,0.23215322112594308,0.32441911442349936,1
78,78,2018-12-28,0.1666666666666675,0.25478816018572253,0.10320361212642529,1
79,79,2018-12-31,0.1720430107526922,0.26523505513638995,-0.06795497982586693,1
80,80,2019-01-02,0.6588235294117648,0.2739408009286128,0.48738033072236614,0
81,81,2019-01-03,0.8783068783068763,0.12362159024956483,-0.719393282773563,1
82,82,2019-01-04,0.679802955665022,0.2820661636680208,0.6020942408376944,1
83,83,2019-01-07,0.271999999999997,0.2948345908299476,0.14437367303609183,1
84,84,2019-01-08,0.047999999999996136,0.31224608241439356,-0.025104602510458228,1
85,85,2019-01-09,0.0632911392405028,0.3279164248403945,0.020850708924102235,1
86,86,2019-01-10,0.6532258064516137,0.35983749274521193,0.33926701570680723,1
87,87,2019-01-11,0.6693548387096749,0.3813116656993615,0.34511434511434436,0
88,88,2019-01-14,0.20754716981131924,0.34764944863609987,-0.045398266611638226,1
89,89,2019-01-15,0.15942028985507053,0.3621590249564713,-0.04516526380619972,0
90,90,2019-01-16,0.5802469135802438,0.33488102147417304,-0.19341563786008184,1
91,91,2019-01-17,0.5053763440860166,0.354614045269878,0.19583333333333286,1
92,92,2019-01-18,0.11594202898550396,0.39640162507254767,0.032579922622683076,0
93,93,2019-01-22,0.6216216216216199,0.3430063842135811,-0.28186274509803827,0
94,94,2019-01-23,0.36718750000000083,0.32385374347069046,-0.19417475728155292,1
95,95,2019-01-24,0.7361111111111089,0.42948345908299457,0.4353182751540021,0
96,96,2019-01-25,0.11309523809523676,0.27161926871735337,0.08110992529348889,0
97,97,2019-01-28,0.8529411764705861,0.2524666279744632,0.2514632560156073,0
98,98,2019-01-29,0.3750000000000028,0.2426001160766105,-0.10260795211628987,1
99,99,2019-01-30,0.6991869918699201,0.30063842135809626,0.368466152527849,0
100,100,2019-01-31,0.3888888888888845,0.27626233313987214,0.17987152034261011,1
101,101,2019-02-01,0.8186274509803898,0.3697040046430642,0.7097322566935803,1
102,102,2019-02-04,0.6000000000000014,0.3981427742309923,0.24681201151789445,1
